yarn run v1.22.22
$ next dev
▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.55:3000
- Environments: .env.local
- Experiments (use with caution):
  · clientTraceMetadata

✓ Starting...
✓ Ready in 2.4s
 PUT /api/inngest 200 in 54ms (compile: 16ms, proxy.ts: 10ms, render: 28ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 14ms, render: 29ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 14ms, render: 37ms)
 PUT /api/inngest 200 in 60ms (compile: 17ms, proxy.ts: 12ms, render: 31ms)
 PUT /api/inngest 200 in 58ms (compile: 16ms, proxy.ts: 10ms, render: 31ms)
 PUT /api/inngest 200 in 70ms (compile: 16ms, proxy.ts: 22ms, render: 32ms)
 PUT /api/inngest 200 in 53ms (compile: 14ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 60ms (compile: 17ms, proxy.ts: 10ms, render: 33ms)
 PUT /api/inngest 200 in 67ms (compile: 21ms, proxy.ts: 10ms, render: 35ms)
 PUT /api/inngest 200 in 72ms (compile: 17ms, proxy.ts: 22ms, render: 33ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 19ms, render: 32ms)
 PUT /api/inngest 200 in 55ms (compile: 17ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 55ms (compile: 17ms, proxy.ts: 8ms, render: 30ms)
 PUT /api/inngest 200 in 58ms (compile: 15ms, proxy.ts: 15ms, render: 28ms)
 PUT /api/inngest 200 in 66ms (compile: 14ms, proxy.ts: 20ms, render: 31ms)
 PUT /api/inngest 200 in 58ms (compile: 15ms, proxy.ts: 6ms, render: 36ms)
 PUT /api/inngest 200 in 55ms (compile: 15ms, proxy.ts: 9ms, render: 30ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 17ms, render: 31ms)
 PUT /api/inngest 200 in 54ms (compile: 14ms, proxy.ts: 6ms, render: 33ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 19ms, render: 32ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 9ms, render: 33ms)
 PUT /api/inngest 200 in 64ms (compile: 17ms, proxy.ts: 16ms, render: 31ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 17ms, render: 31ms)
 PUT /api/inngest 200 in 56ms (compile: 15ms, proxy.ts: 9ms, render: 32ms)
 PUT /api/inngest 200 in 65ms (compile: 16ms, proxy.ts: 17ms, render: 32ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 64ms (compile: 16ms, proxy.ts: 15ms, render: 34ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 18ms, render: 32ms)
 PUT /api/inngest 200 in 68ms (compile: 16ms, proxy.ts: 20ms, render: 32ms)
 PUT /api/inngest 200 in 61ms (compile: 15ms, proxy.ts: 8ms, render: 38ms)
 PUT /api/inngest 200 in 68ms (compile: 18ms, proxy.ts: 19ms, render: 31ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 13ms, render: 31ms)
 PUT /api/inngest 200 in 66ms (compile: 17ms, proxy.ts: 19ms, render: 30ms)
 PUT /api/inngest 200 in 67ms (compile: 15ms, proxy.ts: 22ms, render: 30ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 7ms, render: 31ms)
 PUT /api/inngest 200 in 59ms (compile: 17ms, proxy.ts: 12ms, render: 30ms)
 PUT /api/inngest 200 in 55ms (compile: 14ms, proxy.ts: 10ms, render: 30ms)
 PUT /api/inngest 200 in 48ms (compile: 14ms, proxy.ts: 6ms, render: 28ms)
 PUT /api/inngest 200 in 63ms (compile: 15ms, proxy.ts: 19ms, render: 28ms)
 PUT /api/inngest 200 in 52ms (compile: 15ms, proxy.ts: 10ms, render: 28ms)
 PUT /api/inngest 200 in 61ms (compile: 15ms, proxy.ts: 18ms, render: 29ms)
 PUT /api/inngest 200 in 61ms (compile: 16ms, proxy.ts: 13ms, render: 31ms)
 PUT /api/inngest 200 in 56ms (compile: 16ms, proxy.ts: 9ms, render: 31ms)
 PUT /api/inngest 200 in 70ms (compile: 23ms, proxy.ts: 15ms, render: 33ms)
 PUT /api/inngest 200 in 66ms (compile: 15ms, proxy.ts: 22ms, render: 30ms)
 PUT /api/inngest 200 in 52ms (compile: 14ms, proxy.ts: 6ms, render: 33ms)
 PUT /api/inngest 200 in 57ms (compile: 15ms, proxy.ts: 10ms, render: 32ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 13ms, render: 32ms)
 PUT /api/inngest 200 in 69ms (compile: 16ms, proxy.ts: 19ms, render: 34ms)
 PUT /api/inngest 200 in 55ms (compile: 16ms, proxy.ts: 7ms, render: 32ms)
 PUT /api/inngest 200 in 70ms (compile: 15ms, proxy.ts: 22ms, render: 32ms)
 PUT /api/inngest 200 in 63ms (compile: 16ms, proxy.ts: 16ms, render: 30ms)
 PUT /api/inngest 200 in 62ms (compile: 17ms, proxy.ts: 13ms, render: 32ms)
 PUT /api/inngest 200 in 58ms (compile: 16ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 57ms (compile: 16ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 57ms (compile: 16ms, proxy.ts: 13ms, render: 29ms)
 PUT /api/inngest 200 in 58ms (compile: 19ms, proxy.ts: 10ms, render: 29ms)
